"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"1"|"RT @Fahrenthold: .@mcuban You inspired us. Here's the full story of that gift. https://t.co/mCoA1t0ZNC https://t.co/Ev9J79ObHi"|FALSE|0|NA|2016-08-25 18:25:47|FALSE|NA|"768877044314705920"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"ranu_aurora"|10|TRUE|FALSE|NA|NA
"2"|"RT @alivitali: What to expect here in NH? Trump will respond to \"Clinton's outrageous claims.\" 
What claims? These:  https://t.co/fUffr1q6oR"|FALSE|0|NA|2016-08-25 18:25:46|FALSE|NA|"768877043970965506"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"joellenslack818"|5|TRUE|FALSE|NA|NA
"3"|"RT @TeamPelosi: Don’t know what #AltRightMeans? Here’s a primer on the movement closely tied to Trump’s rise: https://t.co/aNQAth96rL"|FALSE|0|NA|2016-08-25 18:25:46|FALSE|NA|"768877043706654724"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"mlmably"|8|TRUE|FALSE|NA|NA
"4"|"RT @businessinsider: CITI: If Trump wins, it would be a disaster for the global economy https://t.co/t25ycXEgTR https://t.co/QtlJMtYPqb"|FALSE|0|NA|2016-08-25 18:25:46|FALSE|NA|"768877043098451969"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"DavidEPlata"|21|TRUE|FALSE|NA|NA
"5"|"RT @nowthisnews: Listen to Donald Trump's own campaign manager explain why Trump is unfit to lead without even realizing it
https://t.co/4K…"|FALSE|0|NA|2016-08-25 18:25:46|FALSE|NA|"768877042897223680"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"drunkiim"|85|TRUE|FALSE|NA|NA
"6"|"RT @deb3ms: You can try &amp; change the narrative Trump but your vicious race baiting &amp; misogynist words r burned into our minds  https://t.co…"|FALSE|0|NA|2016-08-25 18:25:46|FALSE|NA|"768877042821574656"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"CoachInStands"|4|TRUE|FALSE|NA|NA
"7"|"RT @onlxn: COULTER: You fucked me the exact day my Trump-is-God-book came out.
TRUMP: Not ideal, you-wise. I get.
COULTER: I spent a WEEK w…"|FALSE|0|NA|2016-08-25 18:25:46|FALSE|NA|"768877042620207104"|NA|"<a href=\"http://tapbots.com/tweetbot\" rel=\"nofollow\">Tweetbot for iΟS</a>"|"fbartho"|185|TRUE|FALSE|NA|NA
"8"|"RT @riotwomennn: TV &amp; print media have suspended coverage of the Trump campaign until tax returns released ... Just that simple media https…"|FALSE|0|NA|2016-08-25 18:25:46|FALSE|NA|"768877042464980992"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"Texas_Liberal"|160|TRUE|FALSE|NA|NA
"9"|"Clinton to draw line from KKK to Trump https://t.co/nLwbPUsDpE"|FALSE|0|NA|2016-08-25 18:25:46|FALSE|NA|"768877041278124033"|NA|"<a href=\"http://www.google.com/\" rel=\"nofollow\">Google</a>"|"3tking"|0|FALSE|FALSE|NA|NA
